mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.889239152272543,0.08641784135536487,3.5750255584716797,0.04061192863666544,0.8,0.01,6,256,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 256, 'subsample': 0.8}",0.5503041689429357,0.5501252923452191,0.5508096243332822,0.550413028540479,0.0002897877113273967,544
14.022427002588907,0.11435912784514493,3.579441706339518,0.048793003123397766,0.8,0.01,6,256,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 256, 'subsample': 0.9}",0.5503783617640513,0.5498526901238897,0.5509615969742461,0.5503975496207291,0.0004529125972154967,545
13.90866216023763,0.1019051678326093,3.580892244974772,0.03969492764327643,0.8,0.01,6,256,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 256, 'subsample': 1.0}",0.5493507702985743,0.5493511307991005,0.550123753677533,0.5496085515917359,0.0003643029182767115,549
22.46061364809672,0.08895727595029043,5.252677043279012,0.03685325665156642,0.8,0.01,6,512,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 512, 'subsample': 0.8}",0.5605008354147237,0.5589251720000812,0.5601821230708526,0.5598693768285525,0.0006802139164093253,483
22.657625436782837,0.14870601456758287,5.270598729451497,0.019562276003257596,0.8,0.01,6,512,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 512, 'subsample': 0.9}",0.5603435346689255,0.5587853016698119,0.5603245425033953,0.5598177929473774,0.0007301227541880708,485
22.469622055689495,0.158130854880358,5.249486049016316,0.03098692109541548,0.8,0.01,6,512,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 512, 'subsample': 1.0}",0.559286625882029,0.557577405393234,0.5587154534388274,0.5585264949046967,0.0007104635414266811,493
24.396410306294758,0.11595818467194992,5.615902344385783,0.03921086047649094,0.8,0.01,6,568,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 568, 'subsample': 0.8}",0.56277389682229,0.5607700208075377,0.5619847020591092,0.5618428732296455,0.0008242031842028281,453
24.50785009066264,0.12915231718346515,5.626760164896647,0.04497072920209756,0.8,0.01,6,568,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 568, 'subsample': 0.9}",0.5626004580080504,0.5606632344976828,0.562037535951771,0.5617670761525014,0.0008136625465739726,454
24.225003083546955,0.10609052055422051,5.623033761978149,0.044479022241871786,0.8,0.01,6,568,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 568, 'subsample': 1.0}",0.5612946971296833,0.5591293568963395,0.56023139155736,0.5602184818611275,0.0008840435798937216,476
39.04410711924235,0.1395531712733606,8.601399739583334,0.04301505772647468,0.8,0.01,6,1024,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1024, 'subsample': 0.8}",0.5746781391055502,0.5728167109906186,0.573424510366993,0.573639786821054,0.0007750211268170896,363
39.291693687438965,0.05596827385879264,8.592735767364502,0.047608417005854504,0.8,0.01,6,1024,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1024, 'subsample': 0.9}",0.5747690492567887,0.5730587096278156,0.5734135640273809,0.5737471076373284,0.0007370001883363082,361
38.48654810587565,0.1736733174349084,8.626357634862265,0.03503935930148117,0.8,0.01,6,1024,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1024, 'subsample': 1.0}",0.5734197550494149,0.5711732116147563,0.5711522660573402,0.5719150775738372,0.0010640020075880783,378
47.310418128967285,0.14413105026484813,10.24303412437439,0.05885608283981363,0.8,0.01,6,1280,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1280, 'subsample': 0.8}",0.5794844586989867,0.5780491696207672,0.5781744203146237,0.5785693495447926,0.0006490970688298739,334
47.21562957763672,0.09787560895599703,10.247665166854858,0.0436545839056505,0.8,0.01,6,1280,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1280, 'subsample': 0.9}",0.5797730725768084,0.5780339118523721,0.57822450363857,0.5786771626892502,0.0007788218317764736,332
46.24000096321106,0.11534755277391354,10.258372704188028,0.0432672811293143,0.8,0.01,6,1280,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1280, 'subsample': 1.0}",0.5782918081412508,0.5760806769672463,0.5759316543415309,0.5767680464833427,0.001079178430821945,337
16.65581448872884,0.10529174344331164,3.84587828318278,0.03215445315851685,0.8,0.01,7,256,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 256, 'subsample': 0.8}",0.5593087978509164,0.5600121669175692,0.5604751580752578,0.5599320409479145,0.00047952349368326087,480
